Season,Episode,Category,Time,Northernlion,Sinvicta,Country1,Northernlion1,Sinvicta1,Country2,Northernlion2,Sinvicta2,Country3,Northernlion3,Sinvicta3,Country4,Northernlion4,Sinvicta4,Country5,Northernlion5,Sinvicta5,NothernlionTotal,SinvictaTotal,Notes
1,1,ZppqrRcQXvMGWss3,240,https://youtu.be/LJg_kESUpw0,https://youtu.be/D3wBBJ1lXh4,USA,4011,4303,ARG,3048,64,BRA,3307,4527,ARG,1681,3570,BRA,2774,2487,14821,14951,
1,2,vBQYikiJWgmp9BCL,240,https://youtu.be/iyjGbVMtlTk,https://youtu.be/l_1HVec2VBI,THA,3822,3913,USA,1819,1256,CZE,3922,4692,BRA,2750,2206,USA,2560,3715,14873,15782,
1,3,9ZdFSQQ2qYFXzPtr,240,https://youtu.be/ZkOHF2ujvK0,https://youtu.be/Rl5I5v0B6BE,CHL,4878,4939,USA,4451,4998,FIN,3968,2997,RUS,3659,3468,USA,4991,4965,21947,21367,
1,4,qpqWHtoxF49ZUQha,240,https://youtu.be/qjL_qmxDGCg,https://youtu.be/ZyiuMh8lwDg,AUS,505,2691,RUS,167,164,USA,3449,2021,MYS,1457,1462,HUN,4496,3629,10074,9967,
1,5,DRCaGGzH3jqp7KCU,240,https://youtu.be/4pYw7tgNywg,https://youtu.be/WJ2ZBq88jJY,USA,4994,3754,RUS,2274,2056,ARG,756,618,DNK,4989,3860,PER,3018,4772,16031,15060,
1,6,DrWVIW5mHuAyUl9X,240,https://youtu.be/slFTiyfwSHo,https://youtu.be/Llv2myMba4U,COL,1097,301,RUS,4500,4695,NOR,3884,3551,USA,4607,5000,IND,2149,144,16237,13691,
1,7,C0cFXbK9uakI7xlY,240,https://youtu.be/V6_z8amFCAM,https://youtu.be/ZC1bTncEfO0,ARG,3868,3706,USA,3783,3208,ITA,3906,2711,SWE,3728,4096,ESP,3940,16,19225,13737,
1,8,eJ7OWurz4feQqInp,240,https://youtu.be/FoGM_Agt-nU,https://youtu.be/wknUUiUyrcc,BTN,4411,1292,TUR,2313,626,USA,2009,2509,FIN,4992,2715,BRA,1096,2411,14821,9553,
1,9,z8qPXHHFIq0qwTbZ,240,https://youtu.be/MLSF05NR97w,https://youtu.be/YVpHEQD4m5I,GBR,4909,4909,ZAF,7,2954,BOL,0,1688,USA,1239,4519,USA,1968,2821,8123,16891,
1,10,zIqX9WV4eCNZNWaD,240,https://youtu.be/aOpQHu0GjJU,https://youtu.be/Q3OV5a3IpWk,USA,4445,4941,NOR,4548,4449,MEX,4131,4508,USA,2077,1019,NOR,2585,4178,17786,19095,
1,11,N6K7HCU2OVwteoSd,240,https://youtu.be/nUwFaqV5dc8,https://youtu.be/hnbSd8n2iZM,PER,4947,4163,NOR,3731,3090,RUS,2076,3590,BRA,3493,4063,SWE,4908,4900,19155,19806,
1,12,QeOT14ScOVosV9jW,240,https://youtu.be/PT8RFQfcUIw,https://youtu.be/PwFmWo2JKKY,USA,868,4023,GRC,4679,4885,TUR,4628,5000,BRA,20,1050,SWE,4361,4879,14556,19837,
1,13,oFNr1LidEmGa012X,240,https://youtu.be/Do82Kou6YYo,https://youtu.be/WLwUlLOIw1c,GBR,4511,4478,FRA,4962,4560,ITA,4998,4999,CZE,4999,4719,FRA,4994,4993,24464,23749,EU only challenge run
1,14,l3Xa5IkMdlQV56nA,240,https://youtu.be/x9sHrVIeqfY,https://youtu.be/mucQ1hk18xo,NZL,4502,1,BRA,2030,4907,BRA,565,296,DEU,4203,3285,USA,4560,4917,15860,13406,
1,15,NdFnCfhS3g3vvIAG,240,https://youtu.be/1D6ySZOCJ44,https://youtu.be/81s4CODJFaI,RUS,2169,1898,RUS,3102,230,AUS,1855,11,RUS,1247,1788,GBR,4852,0,13225,3927,
1,16,Wxf4sQBwaNp4OGEH,240,https://youtu.be/0enVVH-Iqes,https://youtu.be/LrQxImPl_gU,ARG,2527,2627,RUS,330,316,FIN,5000,4524,ARG,2880,4416,ITA,3974,4256,14711,16139,
